forecast_horizon_hours,liquidity_quartile,bin,bin_lower,bin_upper,count,mean_prediction,empirical_rate,calibration_gap,weight
12,Q4_high,4,0.4,0.5,139,0.45341726618705036,0.38848920863309355,-0.06492805755395681,0.06763990267639902
12,Q4_high,5,0.5,0.6000000000000001,154,0.5533116883116883,0.564935064935065,0.011623376623376647,0.07493917274939173
12,Q4_high,6,0.6000000000000001,0.7000000000000001,117,0.6473076923076923,0.6068376068376068,-0.04047008547008546,0.05693430656934306
12,Q4_high,7,0.7000000000000001,0.8,45,0.7424444444444444,0.6888888888888889,-0.05355555555555547,0.021897810218978103
12,Q4_high,8,0.8,0.9,23,0.8528260869565216,0.8260869565217391,-0.026739130434782488,0.01119221411192214
12,Q4_high,9,0.9,1.0,52,0.96875,1.0,0.03125,0.025304136253041364
6,Q1_low,0,0.0,0.1,872,0.018107798165137617,0.0,-0.018107798165137617,0.5359557467732022
6,Q1_low,1,0.1,0.2,85,0.14505882352941177,0.011764705882352941,-0.13329411764705884,0.05224339274738783
6,Q1_low,2,0.2,0.30000000000000004,67,0.25,0.05970149253731343,-0.19029850746268656,0.041180086047940996
6,Q1_low,3,0.30000000000000004,0.4,25,0.3504,0.04,-0.3104,0.015365703749231715
6,Q1_low,4,0.4,0.5,205,0.48800000000000004,0.22439024390243903,-0.263609756097561,0.12599877074370006
6,Q1_low,5,0.5,0.6000000000000001,78,0.5364102564102564,0.5256410256410257,-0.010769230769230753,0.04794099569760295
6,Q1_low,6,0.6000000000000001,0.7000000000000001,37,0.6555405405405406,0.9459459459459459,0.2904054054054054,0.022741241548862937
6,Q1_low,7,0.7000000000000001,0.8,63,0.7528571428571429,0.9682539682539683,0.21539682539682536,0.03872157344806392
6,Q1_low,8,0.8,0.9,69,0.8578260869565217,0.9855072463768116,0.1276811594202899,0.04240934234787953
6,Q1_low,9,0.9,1.0,126,0.9734920634920635,1.0,0.02650793650793648,0.07744314689612784
6,Q2,0,0.0,0.1,954,0.01641509433962264,0.005241090146750524,-0.011174004192872115,0.5867158671586716
6,Q2,1,0.1,0.2,62,0.15298387096774194,0.04838709677419355,-0.10459677419354839,0.038130381303813035
6,Q2,2,0.2,0.30000000000000004,48,0.2490625,0.125,-0.12406249999999999,0.02952029520295203
6,Q2,3,0.30000000000000004,0.4,26,0.35980769230769233,0.23076923076923078,-0.12903846153846155,0.015990159901599015
6,Q2,4,0.4,0.5,82,0.4764634146341463,0.2682926829268293,-0.20817073170731704,0.05043050430504305
6,Q2,5,0.5,0.6000000000000001,35,0.5497142857142857,0.5714285714285714,0.021714285714285686,0.02152521525215252
6,Q2,6,0.6000000000000001,0.7000000000000001,23,0.65,0.8695652173913043,0.2195652173913043,0.014145141451414513
6,Q2,7,0.7000000000000001,0.8,36,0.7497222222222222,1.0,0.2502777777777778,0.02214022140221402
6,Q2,8,0.8,0.9,42,0.853452380952381,0.9761904761904762,0.1227380952380952,0.025830258302583026
6,Q2,9,0.9,1.0,318,0.9766823899371069,0.9968553459119497,0.02017295597484281,0.19557195571955718
