pair,model,feature,estimate_type,estimate,train_observations,train_events
12h_to_6h,linear_regression,bucket__bucket_label_52° to 53°,standardized_coefficient,-0.21462379247127406,384,64
12h_to_6h,linear_regression,bucket__bucket_label_53° or below,standardized_coefficient,-0.10588247296033905,384,64
12h_to_6h,linear_regression,bucket__bucket_label_53° to 54°,standardized_coefficient,-0.08912593064762861,384,64
12h_to_6h,linear_regression,bucket__bucket_label_54° to 55°,standardized_coefficient,0.008596070915718831,384,64
12h_to_6h,linear_regression,bucket__bucket_label_55° or below,standardized_coefficient,0.1551069148435561,384,64
12h_to_6h,linear_regression,bucket__bucket_label_55° to 56°,standardized_coefficient,-0.1743678216786866,384,64
12h_to_6h,linear_regression,bucket__bucket_label_56° to 57°,standardized_coefficient,-0.22625403355588802,384,64
12h_to_6h,linear_regression,bucket__bucket_label_57° to 58°,standardized_coefficient,0.11337122764627217,384,64
12h_to_6h,linear_regression,bucket__bucket_label_58° to 59°,standardized_coefficient,-0.10879148235395719,384,64
12h_to_6h,linear_regression,bucket__bucket_label_59° or above,standardized_coefficient,-0.09180988685905167,384,64
12h_to_6h,linear_regression,bucket__bucket_label_59° to 60°,standardized_coefficient,-0.15918637713796557,384,64
12h_to_6h,linear_regression,bucket__bucket_label_60° or below,standardized_coefficient,0.006793448999008675,384,64
12h_to_6h,linear_regression,bucket__bucket_label_60° to 61°,standardized_coefficient,-0.055576546341124994,384,64
12h_to_6h,linear_regression,bucket__bucket_label_61° or above,standardized_coefficient,-0.061908067145358056,384,64
12h_to_6h,linear_regression,bucket__bucket_label_61° or below,standardized_coefficient,-0.11121268073605094,384,64
12h_to_6h,linear_regression,bucket__bucket_label_61° to 62°,standardized_coefficient,-0.23425649868219572,384,64
12h_to_6h,linear_regression,bucket__bucket_label_62° or above,standardized_coefficient,-0.061522349255826045,384,64
12h_to_6h,linear_regression,bucket__bucket_label_62° to 63°,standardized_coefficient,0.009010271757361521,384,64
12h_to_6h,linear_regression,bucket__bucket_label_63° to 64°,standardized_coefficient,-0.0016797391153683724,384,64
12h_to_6h,linear_regression,bucket__bucket_label_64° or above,standardized_coefficient,-0.04125601240253278,384,64
12h_to_6h,linear_regression,bucket__bucket_label_64° to 65°,standardized_coefficient,0.016820902424770634,384,64
12h_to_6h,linear_regression,bucket__bucket_label_65° to 66°,standardized_coefficient,0.056081786985152135,384,64
12h_to_6h,linear_regression,bucket__bucket_label_66° to 67°,standardized_coefficient,-0.3168047112178785,384,64
12h_to_6h,linear_regression,bucket__bucket_label_67° to 68°,standardized_coefficient,-0.16253957977833183,384,64
12h_to_6h,linear_regression,bucket__bucket_label_68° to 69°,standardized_coefficient,0.014522615180908388,384,64
12h_to_6h,linear_regression,bucket__bucket_label_69° or above,standardized_coefficient,-0.09495096590725244,384,64
12h_to_6h,linear_regression,bucket__bucket_label_69° to 70°,standardized_coefficient,-0.24906170216716392,384,64
12h_to_6h,linear_regression,bucket__bucket_label_70° or above,standardized_coefficient,-0.014070164102708956,384,64
12h_to_6h,linear_regression,bucket__bucket_label_70° to 71°,standardized_coefficient,-0.15150422730281699,384,64
12h_to_6h,linear_regression,bucket__bucket_label_72° to 73°,standardized_coefficient,0.24346341253066323,384,64
12h_to_6h,linear_regression,bucket__bucket_label_74° to 75°,standardized_coefficient,-0.16018476721793717,384,64
12h_to_6h,linear_regression,bucket__bucket_label_76° to 77°,standardized_coefficient,-0.2664875975517942,384,64
12h_to_6h,linear_regression,bucket__bucket_label_83° to 84°,standardized_coefficient,-0.10362994312792771,384,64
12h_to_6h,linear_regression,bucket__bucket_label_infrequent_sklearn,standardized_coefficient,-0.04578329611004961,384,64
12h_to_6h,ridge_regression,intercept,intercept,-0.007058969100487689,384,64
12h_to_6h,ridge_regression,numeric__midpoint_probability,standardized_coefficient,0.016378410783256123,384,64
12h_to_6h,ridge_regression,numeric__bid_ask_spread,standardized_coefficient,0.02145832676445897,384,64
12h_to_6h,ridge_regression,numeric__volume,standardized_coefficient,-0.003801138675846511,384,64
12h_to_6h,ridge_regression,numeric__open_interest,standardized_coefficient,0.023283860995025274,384,64
12h_to_6h,ridge_regression,numeric__delta_p_1h,standardized_coefficient,0.021251093409236654,384,64
12h_to_6h,ridge_regression,numeric__delta_p_6h,standardized_coefficient,-0.0279090287437592,384,64
12h_to_6h,ridge_regression,numeric__delta_p_24h,standardized_coefficient,0.00031209672377373446,384,64
12h_to_6h,ridge_regression,numeric__volatility_6h,standardized_coefficient,-0.025636427624493627,384,64
12h_to_6h,ridge_regression,numeric__volatility_24h,standardized_coefficient,0.009482277271402178,384,64
12h_to_6h,ridge_regression,numeric__volume_6h,standardized_coefficient,-0.005209345779431568,384,64
12h_to_6h,ridge_regression,numeric__volume_24h,standardized_coefficient,-0.016925682968808517,384,64
12h_to_6h,ridge_regression,numeric__time_to_close,standardized_coefficient,0.0,384,64
12h_to_6h,ridge_regression,numeric__missingindicator_delta_p_6h,standardized_coefficient,0.00037583351104781225,384,64
12h_to_6h,ridge_regression,numeric__missingindicator_delta_p_24h,standardized_coefficient,-0.002694496535086976,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_43° to 44°,standardized_coefficient,-0.004580082001585293,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_45° to 46°,standardized_coefficient,-0.025356327550078432,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_46° to 47°,standardized_coefficient,-0.030720997600779627,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_47° to 48°,standardized_coefficient,-0.026231813757359394,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_48° to 49°,standardized_coefficient,0.03378301106200003,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_49° to 50°,standardized_coefficient,-0.04652964129707219,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_50° or below,standardized_coefficient,0.013499781459093287,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_50° to 51°,standardized_coefficient,0.056485578478944545,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_51° to 52°,standardized_coefficient,0.037051487210768584,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_52° or below,standardized_coefficient,0.0272535293981287,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_52° to 53°,standardized_coefficient,-0.05438027423016807,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_53° or below,standardized_coefficient,-0.006185295615590771,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_53° to 54°,standardized_coefficient,-0.009332678367831958,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_54° to 55°,standardized_coefficient,0.03920077262725887,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_55° or below,standardized_coefficient,0.05472622949316877,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_55° to 56°,standardized_coefficient,-0.04808513589868243,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_56° to 57°,standardized_coefficient,-0.0729024502556076,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_57° to 58°,standardized_coefficient,0.09075420821678183,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_58° to 59°,standardized_coefficient,-0.01753556309042951,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_59° or above,standardized_coefficient,-0.005773145708618946,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_59° to 60°,standardized_coefficient,-0.03577147770276395,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_60° or below,standardized_coefficient,0.020326221868259803,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_60° to 61°,standardized_coefficient,0.008042328373677698,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_61° or above,standardized_coefficient,0.0004536797697612219,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_61° or below,standardized_coefficient,-0.018092044206857116,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_61° to 62°,standardized_coefficient,-0.07371189952578762,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_62° or above,standardized_coefficient,0.002791724502905989,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_62° to 63°,standardized_coefficient,0.04269738386701582,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_63° to 64°,standardized_coefficient,0.03296909899624501,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_64° or above,standardized_coefficient,0.003826684015081036,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_64° to 65°,standardized_coefficient,0.04173647554172364,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_65° to 66°,standardized_coefficient,0.05977468586278009,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_66° to 67°,standardized_coefficient,-0.12566198245322407,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_67° to 68°,standardized_coefficient,-0.038037128273969906,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_68° to 69°,standardized_coefficient,0.04554312586567815,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_69° or above,standardized_coefficient,-0.006002891956015565,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_69° to 70°,standardized_coefficient,-0.041273085303712896,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_70° or above,standardized_coefficient,0.019683159472291045,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_70° to 71°,standardized_coefficient,-0.028643718110598106,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_72° to 73°,standardized_coefficient,0.11766518056607961,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_74° to 75°,standardized_coefficient,-0.030923145965841954,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_76° to 77°,standardized_coefficient,-0.04541806684947896,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_83° to 84°,standardized_coefficient,-0.007764778158776394,384,64
12h_to_6h,ridge_regression,bucket__bucket_label_infrequent_sklearn,standardized_coefficient,0.021253908781620853,384,64
6h_to_1h,linear_regression,intercept,intercept,-0.004379297048822697,379,64
6h_to_1h,linear_regression,numeric__midpoint_probability,standardized_coefficient,-0.01195482717845847,379,64
6h_to_1h,linear_regression,numeric__bid_ask_spread,standardized_coefficient,-0.0033084801825802434,379,64
6h_to_1h,linear_regression,numeric__volume,standardized_coefficient,0.006026118631726821,379,64
6h_to_1h,linear_regression,numeric__open_interest,standardized_coefficient,0.01756751147087721,379,64
6h_to_1h,linear_regression,numeric__delta_p_1h,standardized_coefficient,-0.0014223479723374892,379,64
6h_to_1h,linear_regression,numeric__delta_p_6h,standardized_coefficient,-0.0037287439279897784,379,64
6h_to_1h,linear_regression,numeric__delta_p_24h,standardized_coefficient,0.009674541070598019,379,64
6h_to_1h,linear_regression,numeric__volatility_6h,standardized_coefficient,-0.012224545774948662,379,64
6h_to_1h,linear_regression,numeric__volatility_24h,standardized_coefficient,0.02195269095272855,379,64
6h_to_1h,linear_regression,numeric__volume_6h,standardized_coefficient,0.0008798543495617621,379,64
6h_to_1h,linear_regression,numeric__volume_24h,standardized_coefficient,-0.025240782523729577,379,64
6h_to_1h,linear_regression,numeric__time_to_close,standardized_coefficient,-0.003099692639378985,379,64
6h_to_1h,linear_regression,numeric__missingindicator_delta_p_24h,standardized_coefficient,0.0006592422383155574,379,64
6h_to_1h,linear_regression,bucket__bucket_label_43° to 44°,standardized_coefficient,0.006096827686429079,379,64
6h_to_1h,linear_regression,bucket__bucket_label_45° to 46°,standardized_coefficient,-0.03740945169106212,379,64
6h_to_1h,linear_regression,bucket__bucket_label_46° to 47°,standardized_coefficient,0.004401782537640505,379,64
6h_to_1h,linear_regression,bucket__bucket_label_47° to 48°,standardized_coefficient,0.09793720592826564,379,64
6h_to_1h,linear_regression,bucket__bucket_label_48° to 49°,standardized_coefficient,0.009557623265062834,379,64
6h_to_1h,linear_regression,bucket__bucket_label_49° to 50°,standardized_coefficient,0.030472977347553193,379,64
6h_to_1h,linear_regression,bucket__bucket_label_50° or below,standardized_coefficient,0.006232010692663124,379,64
6h_to_1h,linear_regression,bucket__bucket_label_50° to 51°,standardized_coefficient,0.031173411108085483,379,64
6h_to_1h,linear_regression,bucket__bucket_label_51° to 52°,standardized_coefficient,0.014200072724220456,379,64
6h_to_1h,linear_regression,bucket__bucket_label_52° or below,standardized_coefficient,0.010480688000774382,379,64
6h_to_1h,linear_regression,bucket__bucket_label_52° to 53°,standardized_coefficient,-0.013809554913197637,379,64
6h_to_1h,linear_regression,bucket__bucket_label_53° or below,standardized_coefficient,0.004222397382536446,379,64
6h_to_1h,linear_regression,bucket__bucket_label_53° to 54°,standardized_coefficient,0.00047277328551274464,379,64
6h_to_1h,linear_regression,bucket__bucket_label_54° to 55°,standardized_coefficient,-0.12160275764143419,379,64
6h_to_1h,linear_regression,bucket__bucket_label_55° or below,standardized_coefficient,0.010231007614253728,379,64
6h_to_1h,linear_regression,bucket__bucket_label_55° to 56°,standardized_coefficient,0.006488182865700864,379,64
6h_to_1h,linear_regression,bucket__bucket_label_56° to 57°,standardized_coefficient,0.10773996929358827,379,64
6h_to_1h,linear_regression,bucket__bucket_label_57° to 58°,standardized_coefficient,-0.07999893974359781,379,64
6h_to_1h,linear_regression,bucket__bucket_label_58° to 59°,standardized_coefficient,0.00615560143117176,379,64
